idioma_secreto,espanol
fefo rino moro somi bane,el perro mira la niña
moro seza fefo sena zizi zita,la maestra encuentra el jardinero verde
moro mapa fefo sena rino zita riga,la médica no encuentra el perro verde
moro mapa moro povo somi nava riga,la médica no lee la niña grande
fefo gero moro mapa pefe,el niño lleva la médica
fefo zizi moro disa mapa rizo,el jardinero cuida la médica azul
moro sesi fefo disa zizi pefe riga,la gata no lleva el jardinero azul
moro somi moro disa seza nava,la niña lee la maestra azul
moro mapa moro posi sesi gope,la médica busca la gata feliz
moro seza moro ragi mapa zita riga,la maestra no encuentra la médica joven
fefo zizi moro posi mapa nava riga,el jardinero no lee la médica feliz
fefo rino fefo sena gero pefe riga,el perro no lleva el niño verde
fefo gero moro sesi rizo riga,el niño no cuida la gata
moro seza moro povo mapa nava riga,la maestra no lee la médica grande
moro mapa fefo sena rino bane riga,la médica no mira el perro verde
fefo mefi moro posi sesi gope,el músico busca la gata feliz
moro mapa fefo posi rino bane,la médica mira el perro feliz
fefo gero moro ragi somi pefe,el niño lleva la niña joven
fefo zizi moro posi mapa pefe riga,el jardinero no lleva la médica feliz
moro mapa fefo povo rino zita riga,la médica no encuentra el perro grande
fefo gero fefo disa rino pefe,el niño lleva el perro azul
moro mapa fefo mefi gope,la médica busca el músico
moro sesi moro sena mapa gope,la gata busca la médica verde
fefo rino fefo disa gero rizo,el perro cuida el niño azul
moro somi moro posi mapa gope riga,la niña no busca la médica feliz
fefo mefi moro posi seza bane,el músico mira la maestra feliz
moro mapa moro seza rizo,la médica cuida la maestra
fefo zizi moro ragi seza pefe riga,el jardinero no lleva la maestra joven
moro seza fefo disa gero zita,la maestra encuentra el niño azul
moro mapa moro ragi seza nava,la médica lee la maestra joven
fefo rino fefo disa mefi pefe,el perro lleva el músico azul
moro seza moro sena mapa rizo,la maestra cuida la médica verde
moro sesi moro seza bane riga,la gata no mira la maestra
moro somi fefo posi zizi bane,la niña mira el jardinero feliz
moro somi moro ragi mapa pefe,la niña lleva la médica joven
fefo zizi moro somi nava,el jardinero lee la niña
fefo rino moro ragi somi rizo,el perro cuida la niña joven
fefo zizi fefo ragi rino pefe riga,el jardinero no lleva el perro joven
fefo gero moro sesi pefe,el niño lleva la gata
fefo mefi fefo ragi zizi gope,el músico busca el jardinero joven
moro sesi moro povo mapa pefe riga,la gata no lleva la médica grande
fefo zizi fefo sena mefi zita,el jardinero encuentra el músico verde
fefo mefi moro mapa gope riga,el músico no busca la médica
moro seza fefo povo mefi nava riga,la maestra no lee el músico grande
fefo gero moro posi sesi zita,el niño encuentra la gata feliz
fefo gero fefo posi mefi rizo riga,el niño no cuida el músico feliz
moro mapa moro povo somi rizo riga,la médica no cuida la niña grande
fefo rino fefo sena gero zita riga,el perro no encuentra el niño verde
moro sesi fefo posi mefi nava riga,la gata no lee el músico feliz
moro somi fefo gero nava,la niña lee el niño
fefo gero moro disa mapa rizo riga,el niño no cuida la médica azul
fefo mefi fefo sena zizi nava riga,el músico no lee el jardinero verde
moro somi fefo posi rino bane riga,la niña no mira el perro feliz
fefo mefi moro sena seza bane riga,el músico no mira la maestra verde
fefo gero fefo sena mefi pefe,el niño lleva el músico verde
moro sesi moro povo seza zita riga,la gata no encuentra la maestra grande
moro seza fefo disa rino bane,la maestra mira el perro azul
fefo zizi moro mapa zita,el jardinero encuentra la médica
fefo zizi fefo disa gero nava riga,el jardinero no lee el niño azul
fefo rino fefo ragi mefi gope,el perro busca el músico joven
fefo rino moro ragi somi gope riga,el perro no busca la niña joven
moro mapa fefo ragi gero nava,la médica lee el niño joven
fefo gero fefo ragi mefi pefe,el niño lleva el músico joven
fefo gero moro povo seza rizo,el niño cuida la maestra grande
moro seza moro povo somi pefe,la maestra lleva la niña grande
fefo mefi fefo disa gero rizo,el músico cuida el niño azul
moro sesi fefo povo mefi pefe,la gata lleva el músico grande
moro sesi moro posi mapa pefe riga,la gata no lleva la médica feliz
moro somi fefo ragi zizi pefe,la niña lleva el jardinero joven
fefo gero moro sena somi nava riga,el niño no lee la niña verde
fefo mefi fefo posi rino pefe riga,el músico no lleva el perro feliz
fefo rino fefo disa zizi zita riga,el perro no encuentra el jardinero azul
fefo rino moro posi mapa rizo,el perro cuida la médica feliz
moro somi moro ragi sesi gope riga,la niña no busca la gata joven
moro sesi fefo sena zizi gope riga,la gata no busca el jardinero verde
moro sesi moro povo seza gope riga,la gata no busca la maestra grande
fefo rino fefo disa zizi nava,el perro lee el jardinero azul
moro seza moro disa sesi pefe,la maestra lleva la gata azul
moro mapa fefo posi rino rizo riga,la médica no cuida el perro feliz
moro mapa fefo gero zita riga,la médica no encuentra el niño
fefo zizi fefo sena mefi bane riga,el jardinero no mira el músico verde
fefo zizi fefo ragi mefi nava,el jardinero lee el músico joven
fefo mefi fefo sena zizi rizo riga,el músico no cuida el jardinero verde
fefo zizi moro somi gope,el jardinero busca la niña
moro sesi fefo ragi rino pefe,la gata lleva el perro joven
moro somi fefo povo mefi gope,la niña busca el músico grande
fefo rino moro sena sesi nava,el perro lee la gata verde
fefo mefi fefo povo zizi bane,el músico mira el jardinero grande
fefo gero moro posi seza gope riga,el niño no busca la maestra feliz
moro sesi fefo disa rino gope riga,la gata no busca el perro azul
moro mapa moro seza bane riga,la médica no mira la maestra
fefo gero fefo posi zizi gope riga,el niño no busca el jardinero feliz
moro somi fefo sena gero zita,la niña encuentra el niño verde
fefo gero moro seza nava,el niño lee la maestra
moro seza fefo sena gero zita,la maestra encuentra el niño verde
fefo mefi moro posi mapa rizo riga,el músico no cuida la médica feliz
moro seza fefo posi gero gope riga,la maestra no busca el niño feliz
moro somi fefo ragi zizi zita riga,la niña no encuentra el jardinero joven
moro sesi moro disa somi gope,la gata busca la niña azul
fefo gero moro posi sesi zita riga,el niño no encuentra la gata feliz
fefo mefi fefo ragi zizi zita,el músico encuentra el jardinero joven
moro sesi fefo ragi zizi nava,la gata lee el jardinero joven
fefo zizi fefo disa rino pefe riga,el jardinero no lleva el perro azul
fefo gero fefo povo zizi nava,el niño lee el jardinero grande
fefo zizi moro povo mapa zita riga,el jardinero no encuentra la médica grande
fefo zizi fefo disa mefi rizo,el jardinero cuida el músico azul
moro sesi moro posi mapa nava riga,la gata no lee la médica feliz
moro seza fefo povo rino pefe riga,la maestra no lleva el perro grande
moro mapa fefo sena gero bane,la médica mira el niño verde
moro somi moro disa mapa pefe,la niña lleva la médica azul
moro mapa moro disa somi gope,la médica busca la niña azul
moro somi fefo povo zizi gope riga,la niña no busca el jardinero grande
moro sesi moro ragi somi nava riga,la gata no lee la niña joven
moro sesi moro sena seza nava riga,la gata no lee la maestra verde
fefo gero fefo sena mefi bane,el niño mira el músico verde
moro sesi fefo disa mefi bane riga,la gata no mira el músico azul
moro sesi moro ragi seza gope,la gata busca la maestra joven
fefo gero moro disa sesi zita,el niño encuentra la gata azul
fefo mefi fefo ragi gero bane riga,el músico no mira el niño joven
moro sesi fefo sena mefi rizo riga,la gata no cuida el músico verde
moro sesi moro sena seza gope,la gata busca la maestra verde
fefo zizi moro posi somi pefe riga,el jardinero no lleva la niña feliz
fefo mefi moro somi nava riga,el músico no lee la niña
fefo zizi fefo posi gero gope,el jardinero busca el niño feliz
moro somi fefo gero pefe,la niña lleva el niño
moro mapa fefo povo zizi gope,la médica busca el jardinero grande
fefo gero moro posi mapa rizo riga,el niño no cuida la médica feliz
moro somi fefo povo zizi rizo,la niña cuida el jardinero grande
fefo zizi moro disa seza rizo,el jardinero cuida la maestra azul
fefo zizi fefo ragi rino bane,el jardinero mira el perro joven
fefo gero moro sena mapa bane riga,el niño no mira la médica verde
moro sesi fefo rino rizo,la gata cuida el perro
fefo mefi fefo povo rino zita,el músico encuentra el perro grande
fefo rino fefo sena zizi rizo riga,el perro no cuida el jardinero verde
moro mapa fefo sena zizi zita riga,la médica no encuentra el jardinero verde
fefo gero moro disa mapa gope,el niño busca la médica azul
fefo mefi moro seza pefe riga,el músico no lleva la maestra
fefo mefi fefo sena gero nava,el músico lee el niño verde
fefo zizi fefo ragi gero zita riga,el jardinero no encuentra el niño joven
fefo mefi fefo zizi pefe,el músico lleva el jardinero
moro sesi moro sena somi rizo riga,la gata no cuida la niña verde
moro mapa fefo posi rino pefe,la médica lleva el perro feliz
fefo mefi moro ragi seza rizo,el músico cuida la maestra joven
moro seza fefo sena mefi gope,la maestra busca el músico verde
fefo zizi fefo ragi gero bane riga,el jardinero no mira el niño joven
moro mapa fefo povo rino nava,la médica lee el perro grande
moro sesi fefo posi gero rizo,la gata cuida el niño feliz
moro somi moro mapa gope riga,la niña no busca la médica
moro mapa moro sena somi gope riga,la médica no busca la niña verde
fefo rino fefo disa mefi nava,el perro lee el músico azul
fefo zizi moro povo somi nava riga,el jardinero no lee la niña grande
moro somi fefo povo gero gope,la niña busca el niño grande
fefo rino moro disa seza bane,el perro mira la maestra azul
fefo mefi fefo povo rino nava riga,el músico no lee el perro grande
moro mapa moro povo sesi nava riga,la médica no lee la gata grande
fefo mefi moro mapa bane,el músico mira la médica
fefo zizi moro povo seza nava,el jardinero lee la maestra grande
moro sesi fefo disa rino zita riga,la gata no encuentra el perro azul
moro somi fefo posi zizi pefe,la niña lleva el jardinero feliz
moro mapa moro ragi somi nava,la médica lee la niña joven
fefo gero fefo mefi pefe riga,el niño no lleva el músico
fefo rino moro sena somi rizo riga,el perro no cuida la niña verde
moro seza fefo povo mefi rizo riga,la maestra no cuida el músico grande
fefo zizi fefo disa mefi zita,el jardinero encuentra el músico azul
fefo mefi fefo disa gero zita riga,el músico no encuentra el niño azul
fefo mefi fefo povo rino rizo riga,el músico no cuida el perro grande
moro seza moro sena sesi gope riga,la maestra no busca la gata verde
fefo gero fefo ragi zizi gope,el niño busca el jardinero joven
fefo zizi moro ragi somi bane riga,el jardinero no mira la niña joven
fefo mefi fefo povo zizi rizo riga,el músico no cuida el jardinero grande
moro mapa moro disa seza pefe,la médica lleva la maestra azul
fefo rino moro ragi sesi bane,el perro mira la gata joven
moro mapa moro povo seza bane,la médica mira la maestra grande
fefo rino moro ragi sesi nava riga,el perro no lee la gata joven
moro mapa moro seza rizo riga,la médica no cuida la maestra
moro seza moro posi mapa pefe riga,la maestra no lleva la médica feliz
fefo gero moro posi seza nava,el niño lee la maestra feliz
moro somi fefo povo mefi bane riga,la niña no mira el músico grande
fefo mefi moro sesi gope riga,el músico no busca la gata
moro sesi moro sena seza pefe,la gata lleva la maestra verde
fefo gero fefo disa mefi bane riga,el niño no mira el músico azul
moro seza moro povo sesi bane,la maestra mira la gata grande
moro sesi fefo sena mefi gope riga,la gata no busca el músico verde
fefo rino fefo disa mefi nava riga,el perro no lee el músico azul
fefo gero moro mapa nava riga,el niño no lee la médica
fefo zizi fefo povo gero zita riga,el jardinero no encuentra el niño grande
fefo mefi fefo povo rino gope riga,el músico no busca el perro grande
moro somi fefo posi gero bane,la niña mira el niño feliz
moro somi fefo povo zizi nava riga,la niña no lee el jardinero grande
fefo mefi fefo povo rino pefe riga,el músico no lleva el perro grande
moro mapa fefo disa rino bane,la médica mira el perro azul
fefo rino moro somi zita riga,el perro no encuentra la niña
moro mapa moro posi sesi zita,la médica encuentra la gata feliz
fefo gero moro disa somi nava,el niño lee la niña azul
fefo gero fefo posi zizi zita riga,el niño no encuentra el jardinero feliz
