idioma_secreto,espanol
moro somi moro disa mapa zita,la niña encuentra la médica azul
fefo gero fefo ragi zizi nava,el niño lee el jardinero joven
fefo mefi moro posi somi nava,el músico lee la niña feliz
fefo rino moro somi rizo riga,el perro no cuida la niña
fefo mefi moro posi seza gope,el músico busca la maestra feliz
moro somi fefo sena zizi gope riga,la niña no busca el jardinero verde
fefo rino moro sena seza bane riga,el perro no mira la maestra verde
moro seza moro ragi somi pefe riga,la maestra no lleva la niña joven
moro mapa fefo disa gero nava riga,la médica no lee el niño azul
fefo zizi fefo sena mefi gope riga,el jardinero no busca el músico verde
fefo zizi moro povo somi rizo riga,el jardinero no cuida la niña grande
fefo mefi moro posi sesi gope riga,el músico no busca la gata feliz
fefo rino fefo ragi zizi bane,el perro mira el jardinero joven
moro sesi fefo ragi zizi gope,la gata busca el jardinero joven
fefo zizi moro sena mapa zita riga,el jardinero no encuentra la médica verde
moro mapa fefo ragi rino rizo riga,la médica no cuida el perro joven
moro seza fefo ragi mefi rizo,la maestra cuida el músico joven
fefo zizi moro posi seza gope riga,el jardinero no busca la maestra feliz
moro sesi fefo sena gero bane riga,la gata no mira el niño verde
fefo mefi moro posi mapa zita riga,el músico no encuentra la médica feliz
fefo mefi fefo disa gero bane riga,el músico no mira el niño azul
fefo gero fefo mefi gope,el niño busca el músico
moro seza fefo ragi zizi bane riga,la maestra no mira el jardinero joven
moro seza moro sena sesi zita,la maestra encuentra la gata verde
moro mapa fefo povo gero pefe riga,la médica no lleva el niño grande
moro seza moro ragi somi rizo riga,la maestra no cuida la niña joven
moro mapa moro disa somi pefe riga,la médica no lleva la niña azul
moro sesi fefo posi gero bane riga,la gata no mira el niño feliz
fefo gero fefo sena zizi nava,el niño lee el jardinero verde
fefo mefi moro sena sesi gope,el músico busca la gata verde
moro somi fefo posi zizi pefe riga,la niña no lleva el jardinero feliz
moro mapa fefo rino rizo riga,la médica no cuida el perro
moro somi fefo mefi rizo,la niña cuida el músico
fefo gero moro posi sesi nava,el niño lee la gata feliz
fefo rino fefo mefi pefe,el perro lleva el músico
fefo mefi moro ragi sesi zita riga,el músico no encuentra la gata joven
moro mapa moro ragi sesi bane,la médica mira la gata joven
moro somi moro posi mapa pefe riga,la niña no lleva la médica feliz
fefo rino fefo mefi zita,el perro encuentra el músico
moro sesi moro disa somi nava riga,la gata no lee la niña azul
fefo rino moro disa mapa zita riga,el perro no encuentra la médica azul
fefo rino fefo disa gero gope riga,el perro no busca el niño azul
moro seza fefo disa zizi rizo riga,la maestra no cuida el jardinero azul
fefo zizi fefo povo mefi zita,el jardinero encuentra el músico grande
fefo rino moro povo somi bane riga,el perro no mira la niña grande
fefo mefi moro sena sesi nava,el músico lee la gata verde
moro somi fefo sena rino rizo,la niña cuida el perro verde
fefo rino fefo zizi pefe,el perro lleva el jardinero
fefo zizi moro disa sesi bane,el jardinero mira la gata azul
fefo mefi fefo zizi rizo,el músico cuida el jardinero
fefo rino fefo disa zizi rizo riga,el perro no cuida el jardinero azul
fefo rino fefo ragi zizi zita,el perro encuentra el jardinero joven
fefo rino moro povo mapa nava riga,el perro no lee la médica grande
moro seza moro sesi bane riga,la maestra no mira la gata
fefo zizi moro mapa rizo,el jardinero cuida la médica
moro somi fefo rino zita riga,la niña no encuentra el perro
moro sesi fefo povo rino gope riga,la gata no busca el perro grande
